"Countries, territories and areas",2020,2019,2018
Belize,45100,43497,36688
Benin,1104928,1077411,1321758
Bhutan,122406,118730,76809
Bolivia (Plurinational State of),29228,29228,2000
Botswana,152560,154663,83488
Brazil,148897,84126,99321
Burkina Faso,508017,587248,766374
Burundi,1243848,725449,1754679
China,174619,206599,161224
Dominican Republic,37821,33226,36891
Ecuador,17276,698292,775884
El Salvador,11370,23512,32691
Eritrea,466238,437194,376143
Eswatini,53517,15055,39144
Ethiopia,6349834,7782034,10486854
Gambia,477032,507872,426788
Ghana,2214552,1986408,1855326
Guatemala,12115,4091,15358
India,23950862,30363425,34290886
Indonesia,38332,164192,305493
Iran (Islamic Republic of),73846,64365,117174
Kenya,1792495,2011860,1833860
Lao People's Democratic Republic,2333,3333,2052
Mali,503043,690793,665581
Mexico,72759,83581,85812
Mozambique,6880851,6303792,4211138
Myanmar,17381,4361,14017
Namibia,1017366,149306,549243
Nepal,41235,263000,230000
Nicaragua,226731,139795,183098
Pakistan,120610,1657670,2937767
Panama,12492,12806,19500
Philippines,476804,731696,1015672
Saudi Arabia,129105,225510,242009
Somalia,283665,82720,2120728
South Africa,1830342,1477420,1600747
Sudan,3901092,3886652,3830195
Thailand,219162,489105,165580
Timor-Leste,116949,175654,154410
Uganda,4671960,4478754,4436156
United Republic of Tanzania,2510463,2989048,2842635
Viet Nam,433405,696751,319866
Yemen,762755,1982284,995328
Zambia,11157421,11767404,6436719
Zimbabwe,3528051,3164344,3020032
